Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
All King County,2226300,910371,408.92,1893708,850.61,82507,37.06,5109,2.29,1404,63.06
98001,35948,13068,363.53,22044,613.22,2144,59.64,134,3.73,29,0.81
98002,35106,14092,401.41,25428,724.32,2938,83.69,208,5.92,63,1.79
98003,49587,19170,386.59,34121,688.10,3668,73.97,274,5.53,76,1.53
98004,34755,14592,419.85,26567,764.41,800,23.02,56,1.61,15,0.43
98005,20154,6612,328.07,11716,581.32,435,21.58,35,1.74,3,0.15
98006,38904,12970,333.38,22645,582.07,736,18.92,39,1.00,11,0.28
98007,28612,11332,396.06,17969,628.02,1049,36.66,56,1.96,19,0.66
98008,26113,8210,314.40,14376,550.53,716,27.42,60,2.30,17,0.65
98010,5549,2078,374.48,3371,607.50,190,34.24,4,0.72,1,0.18
98011,34504,9453,273.97,16594,480.93,750,21.74,40,1.16,12,0.35
98014,7630,2372,310.88,3884,509.04,180,23.59,13,1.70,1,0.13
98019,12209,3633,297.57,5812,476.04,255,20.89,8,0.66,1,0.08
98022,22792,8263,362.54,14201,623.07,1038,45.54,72,3.16,33,1.45
98023,50842,18993,373.57,33579,660.46,3045,59.89,167,3.28,29,0.57
98024,6000,1845,307.50,3081,513.50,150,25.00,2,0.33,0,0.00
98027,30108,10872,361.10,19507,647.90,792,26.31,67,2.23,32,1.06
98028,23193,8146,351.23,14483,624.46,547,23.58,50,2.16,11,0.47
98029,29254,9386,320.85,19759,675.43,539,18.42,33,1.13,24,0.82
98030,36849,12941,351.19,22055,598.52,2438,66.16,147,3.99,29,0.79
98031,39076,14744,377.32,25779,659.71,2450,62.70,142,3.63,32,0.82
98032,36699,14565,396.88,25436,693.10,2544,69.32,141,3.84,27,0.74
98033,38814,15169,390.81,26753,689.26,900,23.19,40,1.03,11,0.28
98034,44252,16292,368.16,27712,626.23,1353,30.57,130,2.94,58,1.31
98038,35227,12078,342.86,19473,552.79,1134,32.19,48,1.36,9,0.26
98039,3247,1368,421.31,2666,821.07,68,20.94,2,0.62,0,0.00
98040,24470,11478,469.06,23605,964.65,482,19.70,26,1.06,8,0.33
98042,48838,16230,332.32,27996,573.24,2139,43.80,122,2.50,29,0.59
98045,15333,5846,381.27,10457,681.99,507,33.07,25,1.63,17,1.11
98047,6704,3011,449.13,4740,707.04,474,70.70,24,3.58,4,0.60
98051,3735,1320,353.41,2032,544.04,133,35.61,6,1.61,1,0.27
98052,69882,21777,311.63,35472,507.60,1260,18.03,109,1.56,62,0.89
98053,22484,5903,262.54,9852,438.18,278,12.36,22,0.98,7,0.31
98055,24945,8977,359.87,16368,656.16,1212,48.59,72,2.89,23,0.92
98056,36346,12946,356.19,24206,665.99,1625,44.71,92,2.53,15,0.41
98057,13268,6881,518.62,13484,1016.28,807,60.82,57,4.30,12,0.90
98058,44805,15424,344.25,27750,619.35,1771,39.53,108,2.41,25,0.56
98059,39897,13727,344.06,23887,598.72,1285,32.21,58,1.45,7,0.18
98065,15789,5668,358.98,9252,585.98,396,25.08,10,0.63,0,0.00
98070,10788,3883,359.94,7016,650.35,108,10.01,3,0.28,3,0.28
98072,24584,7183,292.18,11811,480.43,525,21.36,29,1.18,6,0.24
98074,28881,8660,299.85,14078,487.45,430,14.89,23,0.80,8,0.28
98075,24330,7767,319.24,12829,527.29,481,19.77,18,0.74,6,0.25
98077,14416,3820,264.98,6220,431.47,226,15.68,8,0.55,1,0.07
98092,47868,13999,292.45,22983,480.13,2336,48.80,169,3.53,19,0.40
98101,16247,8379,515.73,22698,1397.06,478,29.42,44,2.71,16,0.98
98102,26690,13100,490.82,33687,1262.16,567,21.24,15,0.56,2,0.07
98103,53528,26671,498.26,64004,1195.71,1041,19.45,46,0.86,23,0.43
98104,18339,8124,442.99,23788,1297.13,782,42.64,102,5.56,20,1.09
98105,54923,23595,429.60,84570,1539.79,1308,23.82,18,0.33,2,0.04
98106,25898,11463,442.62,24667,952.47,1210,46.72,73,2.82,15,0.58
98107,29219,14543,497.72,33787,1156.34,503,17.21,31,1.06,6,0.21
98108,25264,11655,461.33,27501,1088.54,1270,50.27,79,3.13,11,0.44
98109,34939,16936,484.73,39902,1142.05,832,23.81,59,1.69,24,0.69
98112,24026,12739,530.22,32726,1362.11,454,18.90,23,0.96,4,0.17
98115,53109,25447,479.15,57986,1091.83,905,17.04,31,0.58,14,0.26
98116,26979,13130,486.67,28555,1058.42,696,25.80,36,1.33,15,0.56
98117,34314,16522,481.49,36366,1059.80,639,18.62,44,1.28,16,0.47
98118,49108,22744,463.14,64983,1323.27,2589,52.72,180,3.67,53,1.08
98119,26126,11855,453.76,28381,1086.31,457,17.49,10,0.38,2,0.08
98121,22274,8381,376.27,17730,796.00,491,22.04,25,1.12,3,0.13
98122,44306,22133,499.55,62995,1421.82,1029,23.22,50,1.13,12,0.27
98125,43312,18317,422.91,39342,908.34,1266,29.23,95,2.19,31,0.72
98126,24341,11283,463.54,24894,1022.72,776,31.88,56,2.30,28,1.15
98133,49594,21426,432.03,43575,878.63,1709,34.46,132,2.66,46,0.93
98134,675,970,1437.04,1968,2915.56,40,59.26,3,4.44,0,0.00
98136,16216,7980,492.11,18250,1125.43,351,21.65,12,0.74,6,0.37
98144,32523,16241,499.37,41614,1279.53,1366,42.00,117,3.60,43,1.32
98146,29292,11693,399.19,23403,798.96,1689,57.66,111,3.79,31,1.06
98148,10823,4264,393.98,7853,725.58,588,54.33,33,3.05,7,0.65
98155,34534,14059,407.11,29874,865.06,1160,33.59,89,2.58,42,1.22
98158,0,61,.,64,.,1,.,0,.,0,.
98164,157,6977,44439.49,16667,106159.24,58,369.43,5,31.85,2,12.74
98166,21840,9135,418.27,17746,812.55,865,39.61,68,3.11,12,0.55
98168,36076,14557,403.51,27957,774.95,2619,72.60,135,3.74,20,0.55
98177,20330,8789,432.32,18157,893.11,529,26.02,53,2.61,24,1.18
98178,26649,10329,387.59,21050,789.90,1349,50.62,69,2.59,16,0.60
98188,25097,10620,423.16,23063,918.95,1938,77.22,125,4.98,16,0.64
98195,0,408,.,2143,.,22,.,0,.,0,.
98198,36960,15268,413.10,32415,877.03,2300,62.23,137,3.71,33,0.89
98199,21488,10538,490.41,22202,1033.23,381,17.73,11,0.51,1,0.05
98224,310,67,216.13,132,425.81,1,3.23,0,0.00,0,0.00
98288,374,99,264.71,143,382.35,3,8.02,0,0.00,0,0.00
98354,7419,135,18.20,230,31.00,53,7.14,3,0.40,2,0.27
98422,21107,27,1.28,89,4.22,5,0.24,1,0.05,0,0.00